District_ID,Without a computer,Income in the past 12 months below poverty level,Education Below Bachelors Degree,Public health insurance alone,Median income ($),Households Receiving SNAP,2024 Primary Turnout (Registered Voters),2024 Primary Turnout (Eligible Voters),Diff of Eligible and Registered Turnout,Political Career Length of Incumbent
001,5.60%,13.10%,66.30%,21.00%,"80,487",20.10%,64.10%,51.48%,12.62%,21.3
002,4.60%,19.90%,76.40%,32.50%,"63,622",27.60%,59.70%,52.71%,6.99%,11.3
003,3.50%,0.12,66.60%,28.30%,"80,199",12.40%,60.50%,54.44%,6.06%,7.3
004,3.90%,9.30%,65.40%,23.70%,"96,992",10.10%,63.30%,61.98%,1.32%,3.3
005,5.30%,8.00%,72.70%,14.90%,"102,758",10.30%,54.80%,51.15%,3.65%,7.3
006,3.20%,8.20%,66.20%,18.90%,"94,701",8.40%,51.60%,50.69%,0.91%,19.3
007,4.20%,11.20%,68.20%,24.70%,"95,970",12.40%,59.30%,58.36%,0.94%,10.7
008,3.00%,8.50%,69.90%,25.30%,"97,668",11.30%,63.40%,56.86%,6.54%,15.3
009,2.60%,6.30%,41.50%,12.90%,"145,792",2.90%,69.70%,65.54%,4.16%,13.3
010,4.50%,10.60%,55.60%,16.30%,"84,220",7.80%,63.40%,49.82%,13.58%,39.3
011,4.70%,10.20%,47.60%,15.70%,"90,058",9.60%,64.90%,50.73%,14.17%,39.3
012,4.00%,12.40%,51.50%,18.00%,"75,933",8.20%,59.00%,47.62%,11.38%,7.3
013,7.90%,13.60%,64.30%,23.80%,"73,966",15.70%,59.80%,45.65%,14.15%,19.3
014,5.20%,8.80%,71.70%,23.40%,"104,963",15.10%,54.80%,38.70%,16.10%,44.2
015,2.90%,7.90%,68.20%,16.40%,"92,806",12.10%,52.70%,28.62%,24.08%,23.3
016,4.10%,4.80%,59.90%,10.30%,"122,206",4.60%,66.10%,54.13%,11.97%,11.3
017,3.20%,5.90%,63.60%,14.90%,"119,845",8.80%,65.10%,54.37%,10.73%,21.3
018,2.20%,3.70%,63.30%,11.20%,"123,157",5.80%,65.20%,55.62%,9.58%,17.3
019,5.30%,8.50%,75.10%,19.20%,"105,171",16.10%,54.20%,38.45%,15.75%,7.3
020,1.80%,4.10%,65.70%,14.20%,"133,224",9.30%,57.40%,43.95%,13.45%,21.3
021,2.20%,7.40%,70.70%,19.30%,"117,119",14.80%,58.70%,45.61%,13.09%,1.3
022,5.10%,14.30%,82.60%,31.70%,"88,843",27.90%,49.30%,38.32%,10.98%,3.3
023,1.70%,9.50%,64.60%,17.30%,"94,684",9.00%,57.10%,39.05%,18.05%,11.3
024,3.20%,6.70%,57.80%,13.70%,"120,165",7.50%,65.60%,47.35%,18.25%,17.3
025,1.20%,5.00%,48.10%,11.90%,"155,916",6.00%,68.00%,64.87%,3.13%,1.3
